No,분류,분류,분류,분류,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월
No,분류,분류,분류,분류,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
130,대구,남구,남구,남구,91.14,90.84,90.54,90.23,90.05,89.83,89.53,89.33,89.10,88.83
131,대구,북구,북구,북구,87.06,86.78,86.52,86.29,86.03,85.76,85.51,85.12,84.71,84.24
132,대구,수성구,수성구,수성구,81.75,81.40,81.22,81.11,80.94,80.75,80.52,80.08,79.82,79.37
133,대구,달서구,달서구,달서구,78.61,78.22,77.83,77.65,77.42,77.13,76.74,76.39,76.14,76.02
134,대구,달성군,달성군,달성군,82.71,82.34,82.04,81.84,81.47,81.18,80.61,80.25,80.02,79.85
135,광주,광주,광주,광주,96.87,96.77,96.70,96.66,96.56,96.49,96.38,96.25,96.14,95.95
136,광주,동구,동구,동구,95.46,95.35,95.24,95.09,94.99,94.91,94.73,94.59,94.48,94.31
137,광주,서구,서구,서구,96.79,96.79,96.80,96.83,96.75,96.76,96.69,96.59,96.49,96.39
138,광주,남구,남구,남구,96.23,96.09,96.06,95.91,95.84,95.78,95.63,95.46,95.26,94.88
139,광주,북구,북구,북구,98.53,98.48,98.41,98.40,98.24,98.19,98.05,97.88,97.76,97.62
140,광주,광산구,광산구,광산구,95.88,95.65,95.53,95.50,95.43,95.27,95.19,95.09,95.03,94.84
141,대전,대전,대전,대전,92.94,92.85,92.78,92.75,92.69,92.62,92.51,92.40,92.28,92.14
142,대전,동구,동구,동구,97.74,97.66,97.51,97.46,97.37,97.23,97.10,96.96,96.84,96.63
143,대전,중구,중구,중구,94.41,94.32,94.09,93.98,93.80,93.57,93.32,93.11,92.93,92.67
144,대전,서구,서구,서구,90.50,90.44,90.53,90.55,90.54,90.52,90.46,90.43,90.31,90.23
145,대전,유성구,유성구,유성구,90.58,90.43,90.24,90.18,90.09,90.16,90.15,90.01,89.87,89.73
146,대전,대덕구,대덕구,대덕구,95.60,95.52,95.56,95.63,95.63,95.45,95.26,95.21,95.15,95.06
147,울산,울산,울산,울산,93.41,93.40,93.41,93.45,93.47,93.50,93.48,93.47,93.49,93.53
148,울산,중구,중구,중구,94.95,95.03,95.12,95.28,95.35,95.47,95.50,95.58,95.67,95.81
149,울산,남구,남구,남구,93.38,93.38,93.36,93.36,93.43,93.49,93.47,93.40,93.41,93.50
150,울산,동구,동구,동구,91.93,91.87,91.79,91.73,91.68,91.59,91.49,91.43,91.36,91.06
151,울산,북구,북구,북구,91.12,91.17,91.23,91.32,91.29,91.31,91.29,91.29,91.33,91.45
152,울산,울주군,울주군,울주군,95.26,95.17,95.16,95.16,95.19,95.20,95.18,95.17,95.20,95.25
153,세종,세종,세종,세종,76.66,76.31,76.17,76.05,75.91,75.69,75.53,75.30,75.08,74.85
154,강원,강원,강원,강원,103.38,103.51,103.69,103.76,103.81,103.75,103.73,103.68,103.68,103.67
155,강원,춘천시,춘천시,춘천시,101.89,102.36,102.99,103.38,103.71,104.02,104.15,104.21,104.39,104.59
156,강원,원주시,원주시,원주시,100.56,100.78,100.97,101.13,101.16,101.00,101.10,101.03,100.96,100.78
157,강원,강릉시,강릉시,강릉시,106.32,105.99,105.74,105.34,105.09,104.63,104.33,104.16,104.02,103.91
158,강원,동해시,동해시,동해시,108.30,108.50,108.69,109.07,109.41,109.64,109.43,109.48,109.58,109.75
159,강원,태백시,태백시,태백시,99.21,99.02,98.91,98.81,98.75,98.45,98.08,97.93,97.89,97.86
160,강원,속초시,속초시,속초시,111.90,111.58,111.50,110.83,110.20,109.47,108.93,108.41,108.15,107.92
161,강원,삼척시,삼척시,삼척시,102.25,102.27,102.52,102.55,102.72,102.88,102.90,102.87,103.04,103.05
162,충북,충북,충북,충북,102.01,102.03,102.10,102.10,102.11,102.11,102.07,102.01,102.03,102.00
163,충북,청주시,청주시,청주시,99.76,99.74,99.81,99.76,99.76,99.80,99.78,99.66,99.71,99.68
164,충북,청주시,상당구,상당구,100.56,100.57,100.53,100.47,100.53,100.59,100.57,100.51,100.45,100.58
165,충북,청주시,서원구,서원구,100.32,100.29,100.28,100.27,100.15,100.20,100.27,100.25,100.36,100.22
166,충북,청주시,흥덕구,흥덕구,99.15,99.09,99.24,99.15,99.19,99.24,99.21,98.99,99.14,99.14
167,충북,청주시,청원구,청원구,99.25,99.28,99.44,99.40,99.44,99.39,99.32,99.15,99.11,99.00
168,충북,충주시,충주시,충주시,104.85,104.83,104.89,104.91,104.90,104.85,104.82,104.81,104.79,104.77
169,충북,제천시,제천시,제천시,108.97,109.20,109.37,109.65,109.93,109.77,109.74,109.83,109.73,109.74
170,충북,음성군,음성군,음성군,103.16,103.32,103.40,103.31,103.09,103.04,103.03,102.97,102.89,102.59
171,충남,충남,충남,충남,99.35,99.35,99.34,99.36,99.34,99.26,99.22,99.14,99.08,98.96
172,충남,천안시,천안시,천안시,99.21,99.23,99.20,99.17,99.20,99.08,98.90,98.76,98.63,98.33
173,충남,천안시,동남구,동남구,100.64,100.62,100.56,100.51,100.52,100.41,100.29,100.10,99.95,99.69
174,충남,천안시,서북구,서북구,98.26,98.30,98.29,98.27,98.32,98.19,97.97,97.87,97.75,97.42
175,충남,공주시,공주시,공주시,100.72,100.75,100.81,100.81,100.64,100.57,100.57,100.55,100.54,100.52
176,충남,보령시,보령시,보령시,106.00,106.32,106.53,106.72,106.89,107.01,107.09,107.15,107.16,107.23
177,충남,아산시,아산시,아산시,98.49,98.41,98.44,98.42,98.37,98.29,98.26,98.18,98.15,98.08
178,충남,서산시,서산시,서산시,100.86,101.03,100.90,101.39,101.47,101.53,101.75,101.55,101.67,101.68
179,충남,논산시,논산시,논산시,104.10,104.28,104.44,104.51,104.55,104.65,104.78,104.86,104.95,104.98
180,충남,계룡시,계룡시,계룡시,87.73,87.84,87.92,87.96,87.97,87.99,88.00,87.99,87.98,87.94
181,충남,홍성군,홍성군,홍성군,92.58,92.48,92.40,92.35,92.18,92.12,92.01,91.92,91.81,91.61
182,충남,예산군,예산군,예산군,100.32,100.21,100.28,100.18,100.21,100.20,100.16,100.15,100.10,100.09
183,충남,당진시,당진시,당진시,96.23,95.96,95.80,95.52,95.29,94.83,94.82,94.66,94.42,94.27
184,전북,전북,전북,전북,101.37,101.47,101.59,101.68,101.78,101.76,101.60,101.49,101.53,101.62
185,전북,전주시,전주시,전주시,103.73,104.10,104.50,104.95,105.29,105.46,105.29,105.25,105.51,105.79
186,전북,전주시,완산구,완산구,103.88,104.29,104.71,105.32,105.79,105.73,105.49,105.36,105.69,105.93
187,전북,전주시,덕진구,덕진구,103.58,103.90,104.29,104.57,104.77,105.18,105.09,105.13,105.33,105.65
188,전북,군산시,군산시,군산시,99.44,99.26,99.15,99.03,98.92,98.76,98.58,98.48,98.35,98.25
189,전북,익산시,익산시,익산시,96.50,96.22,95.88,95.41,95.18,94.81,94.32,93.86,93.54,93.40
190,전북,정읍시,정읍시,정읍시,102.74,102.93,103.40,103.86,103.98,103.96,103.89,103.90,103.95,104.01
191,전북,남원시,남원시,남원시,102.24,102.45,102.55,102.32,102.49,102.38,102.23,102.21,102.25,102.29
192,전북,김제시,김제시,김제시,102.34,102.32,102.32,102.30,102.33,102.34,102.42,102.49,102.53,102.56
193,전남,전남,전남,전남,98.71,98.71,98.75,98.76,98.74,98.76,98.70,98.65,98.61,98.55
194,전남,목포시,목포시,목포시,97.28,97.35,97.40,97.44,97.45,97.50,97.47,97.46,97.56,97.87
195,전남,여수시,여수시,여수시,94.80,94.72,94.88,95.01,95.06,95.18,95.17,95.07,95.04,94.95
196,전남,순천시,순천시,순천시,95.84,95.76,95.74,95.68,95.70,95.70,95.52,95.31,95.20,95.03
197,전남,나주시,나주시,나주시,98.91,98.89,98.89,98.93,98.93,98.93,98.92,98.89,98.91,98.82
198,전남,광양시,광양시,광양시,93.34,93.01,92.76,92.46,92.14,91.87,91.66,91.45,91.04,90.59
199,전남,무안군,무안군,무안군,99.66,99.70,99.77,99.72,99.76,99.76,99.75,99.74,99.73,99.68
200,경북,경북,경북,경북,100.73,100.62,100.64,100.61,100.56,100.52,100.37,100.30,100.18,100.08
201,경북,포항시,포항시,포항시,98.62,98.48,98.37,98.31,98.24,98.23,97.89,97.69,97.48,97.18
202,경북,포항시,남구,남구,100.82,100.82,100.75,100.81,100.78,100.82,100.55,100.36,100.26,100.07
203,경북,포항시,북구,북구,96.93,96.69,96.56,96.40,96.30,96.26,95.86,95.66,95.37,94.97
204,경북,경주시,경주시,경주시,101.55,101.48,101.39,101.26,101.17,100.97,100.79,100.75,100.70,100.57
205,경북,김천시,김천시,김천시,106.07,106.15,106.21,106.18,106.21,106.17,106.29,106.33,106.44,106.54
206,경북,안동시,안동시,안동시,107.05,107.31,107.75,108.06,108.01,107.87,107.75,107.81,107.90,108.10
207,경북,구미시,구미시,구미시,97.88,97.34,97.25,96.96,96.62,96.50,96.21,95.88,95.40,95.18
208,경북,영주시,영주시,영주시,105.53,105.75,106.18,106.46,106.74,107.14,107.35,107.75,108.02,108.23
209,경북,영천시,영천시,영천시,103.84,104.17,104.59,104.95,104.98,105.14,105.49,105.72,105.66,105.63
210,경북,상주시,상주시,상주시,105.04,105.44,106.11,106.60,106.80,107.03,107.18,107.36,107.60,107.81
211,경북,문경시,문경시,문경시,103.15,103.30,103.46,103.63,103.77,103.98,104.21,104.49,104.70,105.05
212,경북,경산시,경산시,경산시,91.85,91.46,91.11,90.87,90.73,90.54,90.38,90.15,89.89,89.57
213,경북,칠곡군,칠곡군,칠곡군,104.30,104.03,103.94,103.93,103.89,103.74,103.66,103.64,103.51,103.52
214,경남,경남,경남,경남,96.66,96.61,96.55,96.53,96.53,96.51,96.38,96.25,96.17,96.05
215,경남,창원시,창원시,창원시,98.09,98.08,98.04,98.02,97.99,97.98,97.92,97.82,97.72,97.53
216,경남,창원시,의창구,의창구,96.56,96.56,96.57,96.57,96.56,96.62,96.65,96.62,96.54,96.40
217,경남,창원시,성산구,성산구,97.65,97.69,97.54,97.53,97.48,97.40,97.24,97.04,96.83,96.46
218,경남,창원시,마산합포구,마산합포구,103.04,103.00,102.99,102.94,102.90,102.89,102.78,102.61,102.56,102.40
219,경남,창원시,마산회원구,마산회원구,98.26,98.29,98.31,98.34,98.34,98.33,98.35,98.26,98.20,98.09
220,경남,창원시,진해구,진해구,95.25,95.19,95.12,95.07,95.05,95.02,95.01,94.99,94.94,94.87
221,경남,진주시,진주시,진주시,101.73,102.19,102.73,103.24,103.63,103.91,104.01,104.17,104.30,104.54
222,경남,통영시,통영시,통영시,97.48,97.38,97.22,97.10,97.12,97.10,96.96,96.85,96.73,96.54
223,경남,사천시,사천시,사천시,100.44,100.44,100.42,100.37,100.36,100.38,100.44,100.41,100.41,100.40
224,경남,김해시,김해시,김해시,93.52,93.61,93.51,93.42,93.51,93.50,93.19,93.04,92.94,92.77
225,경남,밀양시,밀양시,밀양시,102.16,102.19,102.23,102.26,102.37,102.59,102.80,102.86,102.92,103.03
226,경남,거제시,거제시,거제시,84.89,84.18,83.68,83.44,83.24,82.89,82.26,81.84,81.46,81.06
227,경남,양산시,양산시,양산시,92.99,92.70,92.43,92.21,91.92,91.72,91.59,91.25,91.13,91.03
228,제주,제주,제주,제주,100.71,100.61,100.46,100.35,100.22,100.06,99.91,99.78,99.63,99.48
229,제주,제주시,제주시,제주시,100.90,100.80,100.65,100.55,100.45,100.30,100.16,100.04,99.90,99.76
230,제주,서귀포시,서귀포시,서귀포시,100.29,100.19,100.03,99.91,99.70,99.50,99.35,99.19,99.00,98.81
