No,분류,분류,분류,분류,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월
No,분류,분류,분류,분류,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
53,경기,경부2권,경부2권,경부2권,95.36,95.62,96.03,96.38,96.56,96.67,96.73,96.74,96.74,96.85
54,경기,경부2권,안성시,안성시,100.47,100.29,100.21,100.12,100.09,99.97,99.82,99.66,99.45,99.13
55,경기,경부2권,용인시,용인시,94.70,94.85,95.21,95.50,95.67,95.76,95.82,95.78,95.80,96.00
56,경기,경부2권,용인시,처인구,104.35,103.96,103.84,103.92,104.12,104.19,104.08,104.01,104.01,103.98
57,경기,경부2권,용인시,기흥구,92.22,92.34,92.65,92.93,93.07,93.16,93.29,93.19,93.11,93.16
58,경기,경부2권,용인시,수지구,90.86,91.40,92.10,92.55,92.73,92.81,92.92,92.97,93.10,93.60
59,경기,경부2권,수원시,수원시,95.09,95.52,96.07,96.53,96.77,96.93,97.04,97.12,97.15,97.24
60,경기,경부2권,수원시,장안구,95.86,96.19,96.68,97.16,97.39,97.57,97.69,97.81,97.92,98.00
61,경기,경부2권,수원시,권선구,95.75,96.02,96.42,96.61,96.75,96.85,96.91,96.99,97.04,97.03
62,경기,경부2권,수원시,팔달구,97.29,97.71,98.21,98.53,98.71,98.87,98.93,98.99,99.03,99.15
63,경기,경부2권,수원시,영통구,92.56,93.22,94.00,94.81,95.18,95.39,95.55,95.61,95.55,95.76
64,경기,서해안권,서해안권,서해안권,96.27,96.47,96.77,97.09,97.30,97.38,97.39,97.24,97.10,97.01
65,경기,서해안권,부천시,부천시,97.38,97.69,97.91,98.11,98.28,98.44,98.53,98.59,98.62,98.54
66,경기,서해안권,부천시,원미구,96.96,97.30,97.54,97.80,98.02,98.27,98.40,98.51,98.66,98.62
67,경기,서해안권,부천시,소사구,96.44,96.74,97.07,97.31,97.55,97.68,97.78,97.82,97.72,97.51
68,경기,서해안권,부천시,오정구,99.04,99.26,99.32,99.32,99.33,99.32,99.30,99.29,99.25,99.24
69,경기,서해안권,안산시,안산시,96.12,96.11,96.28,96.74,97.08,97.24,97.29,97.24,97.22,97.17
70,경기,서해안권,안산시,상록구,98.79,98.77,98.88,99.36,99.78,99.98,100.06,99.97,99.96,99.89
71,경기,서해안권,안산시,단원구,93.19,93.20,93.43,93.86,94.12,94.23,94.26,94.24,94.21,94.19
72,경기,서해안권,시흥시,시흥시,93.22,93.50,93.90,94.20,94.50,94.58,94.52,94.40,94.31,94.37
73,경기,서해안권,광명시,광명시,92.77,93.14,93.63,94.26,94.49,94.68,94.72,94.32,93.82,93.39
74,경기,서해안권,화성시,화성시,95.20,95.64,96.37,96.94,97.30,97.44,97.55,97.46,97.45,97.59
75,경기,서해안권,오산시,오산시,95.96,95.90,96.00,96.24,96.36,96.27,96.23,96.06,95.95,95.69
76,경기,서해안권,평택시,평택시,101.44,101.33,101.26,101.19,101.10,100.92,100.70,100.23,99.71,99.36
77,경기,동부1권,동부1권,동부1권,91.71,91.83,92.23,92.58,92.69,92.76,92.67,92.57,92.50,92.54
78,경기,동부1권,남양주시,남양주시,89.59,89.68,89.99,90.30,90.45,90.57,90.49,90.39,90.30,90.21
79,경기,동부1권,구리시,구리시,94.94,95.07,95.30,95.56,95.74,95.96,95.91,95.86,95.78,95.76
80,경기,동부1권,하남시,하남시,91.92,92.22,93.45,94.41,94.78,94.94,94.83,94.69,94.74,94.97
81,경기,동부1권,광주시,광주시,93.90,93.95,94.08,94.20,94.09,93.95,93.83,93.72,93.63,93.79
82,경기,동부2권,동부2권,동부2권,101.69,101.72,101.79,101.87,101.96,101.90,101.85,101.73,101.67,101.54
83,경기,동부2권,이천시,이천시,102.78,102.62,102.55,102.47,102.41,102.05,101.88,101.60,101.39,101.05
84,경기,동부2권,여주시,여주시,101.20,101.35,101.38,101.51,101.78,101.98,101.87,101.83,101.92,101.93
85,경기,경의권,경의권,경의권,91.87,91.88,92.11,92.32,92.36,92.36,92.25,92.11,91.93,91.70
86,경기,경의권,김포시,김포시,90.21,90.36,90.61,90.79,90.65,90.66,90.52,90.30,90.00,89.61
